id,number,playlist_id,tvg_id,display_name,group,group_order,fav_order,uri,logo,description,tvg_shift,favorite,user_agent
11,11,0,'foxsport3','foxsport3','Sports',3,0,'https://cdn10jtedge.useetv.com/joss/15/foxsport3/chunklist_w1000535228_b1344100_sleng.m3u8?enc=qaNZ7ubLHz64MRTaEt8swg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608847822','https://iix123.us.to/logo/foxsport3.png',,0.0,0,''
12,12,0,'natgeo','natgeo','Knowledge',4,0,'https://cdn10jtedge.useetv.com/joss/15/natgeo/chunklist_w602010182_b1344100_sleng.m3u8?enc=a-u5QAYVrxj3t6g4Dks8cg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846017','https://iix123.us.to/logo/natgeo.png',,0.0,0,''
13,13,0,'natgeopeople','natgeopeople','Knowledge',4,0,'https://cdn10jtedge.useetv.com/joss/15/natgeopeople/chunklist_w1815953065_b1344100_sleng.m3u8?enc=G1NyxLesROeZA0GtOVMBpQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846021','https://iix123.us.to/logo/natgeopeople.png',,0.0,0,''
14,14,0,'natgeowild','natgeowild','Knowledge',4,0,'https://cdn10jtedge.useetv.com/joss/15/natgeowild/chunklist_w1429281334_b1344100_sleng.m3u8?enc=vTtHzGJwrzoNTIQ_xVFOEg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846025','https://iix123.us.to/logo/natgeowild.png',,0.0,0,''
15,15,0,'disco','disco','Knowledge',4,0,'https://cdn10jtedge.useetv.com/joss/15/disco/chunklist_w1362965901_b1344100_sleng.m3u8?enc=h6b9R6x5m0nwYqmjx88Pug&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846032','https://iix123.us.to/logo/disco.png',,0.0,0,''
16,16,0,'useeinfo','useeinfo','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/15/useeinfo/chunklist_w586435165_b1344100_sleng.m3u8?enc=U8jwB3m1ng_-AioikG0keg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846058','https://iix123.us.to/logo/useeinfo.png',,0.0,0,''
17,17,0,'useephoto','useephoto','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/15/useephoto/chunklist_w1696197396_b1344100_sleng.m3u8?enc=_RULqIghSb9slMw4pY3mLA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846066','https://iix123.us.to/logo/useephoto.png',,0.0,0,''
18,18,0,'useeprime','useeprime','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/15/useeprime/chunklist_w1797925423_b894100_sleng.m3u8?enc=seINvRPOMMoHATTNJLo_sA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846069','https://iix123.us.to/logo/useeprime.png',,0.0,0,''
19,19,0,'antv','antv','Lokal',2,0,'https://jag.akus.my.id/new/66.m3u8?token=WGs1bjlkMXU3WVAxVDZUanAwOHNaZlJNSS9WOFU5aG5vbjdXV25oMHYyU2tXZjErdk04dmpVMUNReFJCUXczOHZ6YUNKZjNTSkRpemxZMC9HNnh3K1E9PQ==','https://iix123.us.to/logo/antv.png',,0.0,0,''
20,20,0,'indosiar','indosiar','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/15/indosiar/chunklist_w1076618751_b684100_sleng.m3u8?enc=E0t96h_eM1_hn5hvzt7A-Q&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846073','https://iix123.us.to/logo/indosiar.png',,0.0,0,''
21,21,0,'jitv','jitv','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/14/jitv/chunklist_w905658190_b684100_sleng.m3u8?enc=2pIpqeISuFK7BJAdZYZPpw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846077','https://iix123.us.to/logo/jitv.png',,0.0,0,''
22,22,0,'metrotv','metrotv','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/15/metrotv/chunklist_w1819631389_b1344100_sleng.m3u8?enc=gisbdcnp-XcTlzQIALwtfA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846085','https://iix123.us.to/logo/metrotv.png',,0.0,0,''
23,23,0,'net','net','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/15/net/chunklist_w491139168_b1344100_sleng.m3u8?enc=zkm-D5imIGIgoYWobJJsoQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846089','https://iix123.us.to/logo/net.png',,0.0,0,''
24,24,0,'rtv','rtv','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/14/rtv/chunklist_w465599307_b684100_sleng.m3u8?enc=HvcbLIMjKmpLi6ud81VYYg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846092','https://iix123.us.to/logo/rtv.png',,0.0,0,''
25,25,0,'rrinet','rrinet','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/14/rrinet/chunklist_w1747464424_b684100_sleng.m3u8?enc=muVLatFQ3C0vqV6M6iUkTA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608847903','https://iix123.us.to/logo/rrinet.png',,0.0,0,''
26,26,0,'sctv','sctv','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/15/sctv/chunklist_w1158534406_b1344100_sleng.m3u8?enc=Q6Hbn4tkHQv747QJyTCa-w&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846099','https://iix123.us.to/logo/sctv.png',,0.0,0,''
27,27,0,'trans7','trans7','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/15/trans7/chunklist_w1961234838_b1344100_sleng.m3u8?enc=91WAYEVYA8Rzxg0D0HFHcA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846103','https://iix123.us.to/logo/trans7.png',,0.0,0,''
28,28,0,'transtv','transtv','Lokal',2,0,'https://cdn10jtedge.useetv.com/joss/15/transtv/chunklist_w736960624_b1344100_sleng.m3u8?enc=tZj57gY1b0Ph_SOhz7YHFA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608846106','https://iix123.us.to/logo/transtv.png',,0.0,0,''
29,29,0,'tvone','tvone','Lokal',2,0,'https://jag.akus.my.id/new/178.m3u8?token=WGs1bjlkMXU3WVAxVDZUanAwOHNaZlJNSS9WOFU5aG5vbjdXV25oMHYyU2tXZjErdk04dmpVMUNReFJCUXczOHZ6YUNKZjNTSkRpemxZMC9HNnh3K1E9PQ==','https://iix123.us.to/logo/tvone.png',,0.0,0,''
30,30,0,'antara','antara','News',5,0,'https://cdn11jtedge.useetv.com/joss/14/antara/chunklist_w1211615644_b684100_sleng.m3u8?enc=N7h0UAaHeAZ-zQrT43gM_g&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608844843','https://iix123.us.to/logo/antara.png',,0.0,0,''
31,31,0,'idx','idx','News',5,0,'https://cdn11jtedge.useetv.com/joss/14/idx/chunklist_w520836353_b684100_sleng.m3u8?enc=PLt-_jUfuYZCkkf2iaya6g&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843040','https://iix123.us.to/logo/idx.png',,0.0,0,''
32,32,0,'babyfirst','babyfirst','Kids',6,0,'https://cdn11jtedge.useetv.com/joss/14/babyfirst/chunklist_w2084275347_b684100_sleng.m3u8?enc=i-dX7kjeTTNtOgP_7wqlQw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843044','https://iix123.us.to/logo/babyfirst.png',,0.0,0,''
33,33,0,'balitv','balitv','Lokal',2,0,'https://cdn11jtedge.useetv.com/joss/14/balitv/chunklist_w1794076161_b684100_sleng.m3u8?enc=P26Lte2UHNZXpeCJvpOKzw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843050','https://iix123.us.to/logo/balitv.png',,0.0,0,''
34,34,0,'beritasatu','beritasatu','News',5,0,'https://cdn11jtedge.useetv.com/joss/14/beritasatu/chunklist_w100011036_b684100_sleng.m3u8?enc=5_vIj-cdOd0_XEWcP7yAHA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843054','https://iix123.us.to/logo/beritasatu.png',,0.0,0,''
35,35,0,'cdrama','cdrama','Hiburan',7,0,'https://cdn11jtedge.useetv.com/joss/14/cdrama/chunklist_w733880515_b684100_sleng.m3u8?enc=Om_0vnTXU5bisomsjWE5iQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608844864','https://iix123.us.to/logo/cdrama.png',,0.0,0,''
36,36,0,'ducktv','ducktv','Kids',6,0,'https://cdn11jtedge.useetv.com/joss/14/ducktv/chunklist_w1815255368_b684100_sleng.m3u8?enc=7vOqpAFf21Fs-rv_iUXKUg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843062','https://iix123.us.to/logo/ducktv.png',,0.0,0,''
37,37,0,'dunialain','dunialain','Hiburan',7,0,'https://cdn11jtedge.useetv.com/joss/14/dunialain/chunklist_w576529854_b684100_sleng.m3u8?enc=UWjLFhsuQYv7g88KEJkUdw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843068','https://iix123.us.to/logo/dunialain.png',,0.0,0,''
38,38,0,'dwtv','dwtv','News',5,0,'https://cdn11jtedge.useetv.com/joss/14/dwtv/chunklist_w1764607368_b684100_sleng.m3u8?enc=DapxsMZvQ90DKGtXpJpkOA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843075','https://iix123.us.to/logo/dwtv.png',,0.0,0,''
39,39,0,'france24','france24','News',5,0,'https://cdn11jtedge.useetv.com/joss/14/france24/chunklist_w1232338529_b684100_sleng.m3u8?enc=rxLs8L6wM2ATH9ON1n_Svw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843078','https://iix123.us.to/logo/france24.png',,0.0,0,''
40,40,0,'horee','horee','Kids',6,0,'https://cdn11jtedge.useetv.com/joss/14/horee/chunklist_w1371567542_b684100_sleng.m3u8?enc=y57NhUSI6mvdOireJvpjLQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843082','https://iix123.us.to/logo/horee.png',,0.0,0,''
41,41,0,'imc','imc','Hiburan',7,0,'https://cdn11jtedge.useetv.com/joss/14/imc/chunklist_w66709599_b684100_sleng.m3u8?enc=ult7H6KuxhXPl0YTVFoLsA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608844893','https://iix123.us.to/logo/imc.png',,0.0,0,''
42,42,0,'jaktv','jaktv','Lokal',2,0,'https://cdn11jtedge.useetv.com/joss/14/jaktv/chunklist_w441540668_b684100_sleng.m3u8?enc=vScVwjEQfsyCQenoPkFtOQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843603','https://iix123.us.to/logo/jaktv.png',,0.0,0,''
43,43,0,'jtv','jtv','Lokal',2,0,'https://cdn11jtedge.useetv.com/joss/14/jtv/chunklist_w1799045895_b684100_sleng.m3u8?enc=TJgij5tSnQx2dgzQSgz1rw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843608','https://iix123.us.to/logo/jtv.png',,0.0,0,''
44,44,0,'muitv','muitv','Religi',8,0,'https://cdn11jtedge.useetv.com/joss/14/muitv/chunklist_w1582199378_b684100_sleng.m3u8?enc=5HQzIXE-9wBtbzWGsfVYHg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843613','https://iix123.us.to/logo/muitv.png',,0.0,0,''
45,45,0,'tmusic','tmusic','Musik',9,0,'https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1608854591/ei/39fkX67EK6Wa3LUP0tmC-A4/ip/180.254.99.67/id/_eKKfbBgp-s.1/itag/96/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D137/hls_chunk_host/r3---sn-2uuxa3vh-wvbe.googlevideo.com/playlist_duration/30/manifest_duration/30/vprv/1/playlist_type/DVR/initcwndbps/3120/mh/Tu/mm/44/mn/sn-2uuxa3vh-wvbe/ms/lva/mv/m/mvi/3/pl/20/dover/11/keepalive/yes/mt/1608832827/sparams/expire\,ei\,ip\,id\,itag\,source\,requiressl\,ratebypass\,live\,sgoap\,sgovp\,playlist_duration\,manifest_duration\,vprv\,playlist_type/sig/AOq0QJ8wRgIhANu0XjGQz2XVHDXeYV6I8dZfT8oV1GH2NHzoL6ty1iZhAiEA2pkWei81w1HYHfv8Pugt5CaMTp2-8IihxFR_zTjSOlQ%3D/lsparams/hls_chunk_host\,initcwndbps\,mh\,mm\,mn\,ms\,mv\,mvi\,pl/lsig/AG3C_xAwRAIgMVf6SFG7l1eRJfNURWEm9lOPI20_IFo0PkYyY-rwCFsCID1NRmBVMcnoyb9ySXi3Y7sRPV8yqrH6ybmj3kHGXB1F/playlist/index.m3u8','https://iix123.us.to/logo/tmusic.png',,0.0,0,''
46,46,0,'tvedukasi','tvedukasi','Knowledge',4,0,'https://cdn11jtedge.useetv.com/joss/14/tvedukasi/chunklist_w618295407_b684100_sleng.m3u8?enc=RF2p1iltvUZM9bHuXPPAFQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843628','https://iix123.us.to/logo/tvedukasi.png',,0.0,0,''
47,47,0,'tv9','tv9','Lokal',2,0,'https://cdn11jtedge.useetv.com/joss/14/tv9/chunklist_w491708461_b684100_sleng.m3u8?enc=NoRig34crh5iuOiiSD5ykQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843637','https://iix123.us.to/logo/tv9.png',,0.0,0,''
48,48,0,'tvri','tvri','Lokal',2,0,'https://cdn11jtedge.useetv.com/joss/15/tvri/chunklist_w292525984_b684100_sleng.m3u8?enc=vqAhfjVR-X5Z2pAETLzfAw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608845450','https://iix123.us.to/logo/tvri.png',,0.0,0,''
49,49,0,'uchannel','uchannel','Religi',8,0,'https://cdn11jtedge.useetv.com/joss/14/uchannel/chunklist_w1551374248_b684100_sleng.m3u8?enc=UrlLs9oh6c-WOQgY3sFqYA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608845456','https://iix123.us.to/logo/uchannel.png',,0.0,0,''
50,50,0,'alquran','alquran','Religi',8,0,'https://cdn11jtedge.useetv.com/joss/14/alquran/chunklist_w796011333_b684100_sleng.m3u8?enc=3Ce17NE9A7R0AeuHPE2Kmg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843652','https://iix123.us.to/logo/alquran.png',,0.0,0,''
51,51,0,'mqtv','mqtv','Religi',8,0,'https://cdn11jtedge.useetv.com/joss/14/mqtv/chunklist_w727199709_b684100_sleng.m3u8?enc=qTut7JVRGMvK9hfgsGKbDw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843658','https://iix123.us.to/logo/mqtv.png',,0.0,0,''
52,52,0,'mtatv','mtatv','Religi',8,0,'https://cdn11jtedge.useetv.com/joss/14/mtatv/chunklist_w1929481939_b684100_sleng.m3u8?enc=eNJ9bJ9IVHflqCR3zoiZKg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843662','https://iix123.us.to/logo/mtatv.png',,0.0,0,''
53,53,0,'muhammadiyahtv','muhammadiyahtv','Religi',8,0,'https://cdn11jtedge.useetv.com/joss/14/muhammadiyahtv/chunklist_w622885287_b684100_sleng.m3u8?enc=M-lfzRovX5Sl2WRuOTI2IQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843665','https://iix123.us.to/logo/muhammadiyahtv.png',,0.0,0,''
54,54,0,'rodjatv','rodjatv','Religi',8,0,'https://cdn11jtedge.useetv.com/joss/14/rodjatv/chunklist_w451429241_b684100_sleng.m3u8?enc=Dqxw7t9nFaWTabt91gU7Tg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843669','https://iix123.us.to/logo/rodjatv.png',,0.0,0,''
55,55,0,'bioskopindonesia','bioskopindonesia','Hiburan',7,0,'https://cdn11jtedge.useetv.com/joss/14/bioskopindonesia/chunklist_w1291403703_b684100_sleng.m3u8?enc=WP7DwMVRTBVvI4l1u9tyNA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843672','https://iix123.us.to/logo/bioskopindonesia.png',,0.0,0,''
56,56,0,'chinesedrama','chinesedrama','Hiburan',7,0,'https://cdn11jtedge.useetv.com/joss/14/chinesedrama/chunklist_w1620503966_b684100_sleng.m3u8?enc=5maTSn7j7VhPg3plp8wJCQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608845483','https://iix123.us.to/logo/chinesedrama.png',,0.0,0,''
57,57,0,'cnnindonesia','cnnindonesia','News',5,0,'https://cdn11jtedge.useetv.com/joss/15/cnnindonesia/chunklist_w1286443846_b1344100_sleng.m3u8?enc=iFBRJyWtnd3TtgNkZ1mHIw&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843681','https://iix123.us.to/logo/cnnindonesia.png',,0.0,0,''
58,58,0,'daaitv','daaitv','Religi',8,0,'https://cdn11jtedge.useetv.com/joss/14/daaitv/chunklist_w1066277782_b684100_sleng.m3u8?enc=1xYQ9gKDYO4egKQ6FWI77Q&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843687','https://iix123.us.to/logo/daaitv.png',,0.0,0,''
59,59,0,'duniaanak','duniaanak','Kids',6,0,'https://cdn11jtedge.useetv.com/joss/14/duniaanak/chunklist_w733259958_b684100_sleng.m3u8?enc=RcFLvmXQGBh9fkEB0ViMHQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843693','https://iix123.us.to/logo/duniaanak.png',,0.0,0,''
60,60,0,'eatgo','eatgo','Hiburan',7,0,'https://cdn11jtedge.useetv.com/joss/14/eatgo/chunklist_w239462390_b684100_sleng.m3u8?enc=1Ed_gpLiTdEyk-qpXREXdg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843697','https://iix123.us.to/logo/eatgo.png',,0.0,0,''
61,61,0,'flik','flik','Hiburan',7,0,'https://cdn11jtedge.useetv.com/joss/15/flik/chunklist_w888329352_b1344100_sleng.m3u8?enc=77-x0FeP7tCEGp6oitVMVg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843705','https://iix123.us.to/logo/flik.png',,0.0,0,''
62,62,0,'galaxy','galaxy','Hiburan',7,0,'https://cdn11jtedge.useetv.com/joss/15/galaxy/chunklist_w842036600_b894100_sleng.m3u8?enc=GPlMphxF4ug5oWGCUCPpiA&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608843712','https://iix123.us.to/logo/galaxy.png',,0.0,0,''
63,63,0,'insert','insert','Hiburan',7,0,'https://cdnmdc1.useetv.com/joss/14/insert/chunklist_w1793558872_b684100_sleng.m3u8?enc=g4we3NakO2-eV3Iu7pFrPg&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608844208','https://iix123.us.to/logo/insert.png',,0.0,0,''
64,64,0,'kix','kix','Hiburan',7,0,'https://cdnmdc1.useetv.com/joss/15/kix/chunklist_w277511499_b1344100_sleng.m3u8?enc=wtTtR1DQtSpEhFzQ49sTuQ&id=NWNhNzI1MmE4NTMwNWFjZDc2NDE2ZDQ3NmYzNTNkYjg=&exp=1608844212','https://iix123.us.to/logo/kix.png',,0.0,0,''
